Athlete_Name,Country,Coach,Team,Gold_Medals_Per_Country
Hur Kyoungmin,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Park Sewoong,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Lee Jung Hoo,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Oh Jaeil,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Won Taein,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Yang Euiji,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Park Hae Min,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Lee Euilee,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Oh Ji Hwan,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Park Kunwoo,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Kang Leeseul,Republic of Korea,Chun Jooweon,Republic of Korea,6.0
Bae Hyeyoon,Republic of Korea,Chun Jooweon,Republic of Korea,6.0
An Heji,Republic of Korea,Chun Jooweon,Republic of Korea,6.0
Jin An,Republic of Korea,Chun Jooweon,Republic of Korea,6.0
Kim Danbi,Republic of Korea,Chun Jooweon,Republic of Korea,6.0
Han Eomji,Republic of Korea,Chun Jooweon,Republic of Korea,6.0
Kim Jung Eun,Republic of Korea,Chun Jooweon,Republic of Korea,6.0
Yoon Yebin,Republic of Korea,Chun Jooweon,Republic of Korea,6.0
Park Ji Su,Republic of Korea,Chun Jooweon,Republic of Korea,6.0
Park Hyejin,Republic of Korea,Chun Jooweon,Republic of Korea,6.0
Shin Jihyun,Republic of Korea,Chun Jooweon,Republic of Korea,6.0
Kim Yunji,Republic of Korea,Kang Jae Won,Republic of Korea,6.0
Jo Harang,Republic of Korea,Kang Jae Won,Republic of Korea,6.0
Kang Eunhye,Republic of Korea,Kang Jae Won,Republic of Korea,6.0
Kang Kyungmin,Republic of Korea,Kang Jae Won,Republic of Korea,6.0
Choi Sumin,Republic of Korea,Kang Jae Won,Republic of Korea,6.0
Jeong Jinhui,Republic of Korea,Kang Jae Won,Republic of Korea,6.0
Jung Yura,Republic of Korea,Kang Jae Won,Republic of Korea,6.0
Gim Boeun,Republic of Korea,Kang Jae Won,Republic of Korea,6.0
Kim Jinyi,Republic of Korea,Kang Jae Won,Republic of Korea,6.0
Jung Ji In,Republic of Korea,Kang Jae Won,Republic of Korea,6.0
Ju Hui,Republic of Korea,Kang Jae Won,Republic of Korea,6.0
Won Seonpil,Republic of Korea,Kang Jae Won,Republic of Korea,6.0
Lee Migyeong,Republic of Korea,Kang Jae Won,Republic of Korea,6.0
Ryu Eun Hee,Republic of Korea,Kang Jae Won,Republic of Korea,6.0
Sim Haein,Republic of Korea,Kang Jae Won,Republic of Korea,6.0
Kim Su Ji,Republic of Korea,Lavarini Stefano,Republic of Korea,6.0
Kim Heejin,Republic of Korea,Lavarini Stefano,Republic of Korea,6.0
Jeong Jiyun,Republic of Korea,Lavarini Stefano,Republic of Korea,6.0
Kim Yeon Koung,Republic of Korea,Lavarini Stefano,Republic of Korea,6.0
An Hyejin,Republic of Korea,Lavarini Stefano,Republic of Korea,6.0
Park Eunjin,Republic of Korea,Lavarini Stefano,Republic of Korea,6.0
Park Jeongah,Republic of Korea,Lavarini Stefano,Republic of Korea,6.0
Yang Hyo Jin,Republic of Korea,Lavarini Stefano,Republic of Korea,6.0
Yeum Hye Seon,Republic of Korea,Lavarini Stefano,Republic of Korea,6.0
Lee Soyoung,Republic of Korea,Lavarini Stefano,Republic of Korea,6.0
Oh Jiyoung,Republic of Korea,Lavarini Stefano,Republic of Korea,6.0
Pyo Seungju,Republic of Korea,Lavarini Stefano,Republic of Korea,6.0
Jang Jeongmin,Republic of Korea,Seo Chun Oh,Republic of Korea,6.0
Choi Seong Deok,Republic of Korea,Seo Chun Oh,Republic of Korea,6.0
Kim Nam Uk,Republic of Korea,Seo Chun Oh,Republic of Korea,6.0
Han Kun Kyu,Republic of Korea,Seo Chun Oh,Republic of Korea,6.0
Chang Yong Heung,Republic of Korea,Seo Chun Oh,Republic of Korea,6.0
Kim Hyunsoo,Republic of Korea,Seo Chun Oh,Republic of Korea,6.0
Coquillard Andre Jin,Republic of Korea,Seo Chun Oh,Republic of Korea,6.0
Jang Seongmin,Republic of Korea,Seo Chun Oh,Republic of Korea,6.0
Park Wanyong,Republic of Korea,Seo Chun Oh,Republic of Korea,6.0
Lee Seongbae,Republic of Korea,Seo Chun Oh,Republic of Korea,6.0
Lee Jinkyu,Republic of Korea,Seo Chun Oh,Republic of Korea,6.0
Kim Donghyun,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Kim Donghyun,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Jeong Taewook,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Jeong Taewook,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Hwang Uijo,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
